site,x,y,LRIvegetation,mud,native,exotic,waterfall,scrub,river,lake,ice,sand,snow,elevation,FSLsoil,orchard,shingle,elevation
MA,174.4602903361,-36.4576907924,1,0,0,1,0,1,0,0,0,0,0,97,1,0,0,97
MB,170.3234482352,-44.1745061776,1,0,0,1,0,0,0,0,0,0,0,516,1,0,0,516
MD,175.4144557501,-39.398405577,1,0,0,0,0,1,0,0,0,0,0,642,1,0,0,642
MGK,176.9060395648,-39.9648871303,1,0,1,1,0,0,1,1,0,0,0,14,1,0,0,14
MGP,175.1426040228,-40.7422755711,1,0,1,1,0,1,0,1,0,0,0,11,1,0,0,11
MH,174.6473108652,-36.4500995601,1,0,0,1,0,1,0,0,0,0,0,68,1,0,0,68
MKD,176.3074797984,-39.082130671,1,0,0,1,0,1,1,0,0,0,0,621,1,0,0,621
MKM,176.5890863062,-39.0489231838,1,0,0,1,0,1,1,0,0,0,0,405,1,0,0,405
MKU,176.2776812489,-39.0786580959,1,0,0,1,0,1,1,0,0,0,0,658,1,0,1,658
ML,175.1754905962,-37.1116322876,1,0,0,0,0,1,0,0,0,0,0,157,1,0,0,157
MNK,176.8864424587,-39.6813431971,1,0,0,1,0,0,0,0,0,0,0,40,1,0,0,40
MNR,174.9770370967,-37.8024282662,1,1,0,1,0,1,1,0,0,1,0,11,1,0,0,11
MNT,176.8730696251,-39.6709378464,1,0,0,0,0,0,1,0,0,0,0,15,1,1,0,15
MO,175.4697891292,-40.4353497253,1,0,0,0,0,0,1,0,0,0,0,12,1,0,1,12
MPT,175.847892285,-40.3419333,1,0,0,0,0,0,0,0,0,0,0,77,1,0,0,77
MRP,177.1402142503,-39.0808765802,1,0,1,1,0,1,1,1,0,0,0,55,1,0,1,55
MSB,174.8510466987,-37.6787624503,1,0,1,0,0,0,0,1,0,0,0,28,1,0,0,28
MTK,174.7105729951,-36.344330275,1,0,0,0,0,1,0,0,0,0,0,26,1,0,0,26
MTR,175.4961834864,-41.0547859956,1,0,0,0,0,0,1,0,0,0,0,55,1,0,1,55
MTU,175.5372374158,-36.6636748152,1,1,0,1,0,0,0,0,0,1,0,29,1,0,0,29
MU,174.8044346543,-37.1882628619,1,0,1,0,0,1,0,1,0,0,0,19,1,1,0,19
MUG,175.818031838,-40.3318562447,1,0,0,1,0,1,1,0,0,0,0,77,1,0,1,77
MWB,176.1129194194,-40.2386158274,1,0,1,0,0,0,1,1,0,0,0,159,1,0,0,159
MWF,176.9473550547,-39.003304,1,0,0,1,0,1,1,0,0,0,0,87,1,0,0,87
MWP,175.3224717315,-39.4295202441,1,0,1,0,0,0,0,1,0,0,0,529,1,0,0,529
MWW,175.2575515551,-40.5023656302,1,1,0,1,0,1,1,0,0,0,0,2,1,0,0,2
NKU,174.6697893871,-36.5709900052,1,0,1,0,0,1,0,1,0,0,0,34,1,0,0,34
O,174.7449280866,-36.8075370576,1,1,1,0,0,1,0,1,0,1,0,9,1,0,0,9
OAG,175.9277108294,-39.9363478844,1,0,0,1,0,1,1,0,0,0,0,490,1,0,1,490
OAK,174.7052561074,-36.8757326937,1,1,1,0,0,0,0,1,0,1,0,15,1,0,0,15
OAL,175.6599034567,-40.1734180717,1,0,1,1,0,0,1,1,0,0,0,139,1,0,1,139
OAM,175.0428032961,-38.1476499157,1,0,0,0,0,1,0,0,0,0,0,124,1,0,0,124
OB,175.2126991868,-36.9922038098,1,0,0,1,0,0,0,0,0,0,0,130,1,0,0,130
OHP,171.3267301414,-44.2152324883,1,0,0,1,0,0,0,0,0,0,0,28,1,0,0,28
OMR,169.9582684854,-44.4896718147,1,0,0,1,0,1,1,0,0,0,0,435,1,0,1,435
OMW,175.0575821515,-38.0229952414,1,0,0,1,0,1,0,0,0,0,0,454,1,0,0,454
OP,174.5946545564,-36.8950656878,1,0,0,1,0,0,0,0,0,0,0,35,1,1,0,35
OPH,171.2741718001,-44.262805547,1,0,1,1,0,0,1,1,0,0,0,26,1,0,1,26
OPU,170.979658973,-44.0806952652,1,0,0,1,0,1,1,0,0,0,0,246,1,0,1,246
OR,174.7148069359,-36.6696111223,1,1,0,1,0,0,0,0,0,1,0,35,1,0,0,35
ORO,175.5210944954,-40.2771020018,1,0,0,0,0,1,1,0,0,0,0,40,1,0,1,40
OT,174.7081575406,-36.6804656177,1,1,1,1,0,1,1,1,0,1,0,11,1,0,0,11
OTH,174.7025100085,-36.7373378048,1,0,1,0,0,1,0,1,0,0,0,27,1,0,0,27
OTN,174.6740238714,-36.5637014081,1,0,1,0,0,1,0,1,0,0,0,38,1,0,0,38
OTR,174.8901828827,-36.9556484074,1,1,0,0,0,0,1,0,0,1,0,10,1,0,0,10
PAH,172.8290784145,-42.7972291265,1,0,1,1,0,1,0,1,0,0,0,188,1,0,1,188
PAW,172.9388569205,-43.7341698659,1,0,0,0,0,1,0,0,0,0,0,124,1,0,0,124
PB,174.9117828472,-37.001660962,1,0,1,0,0,1,0,1,0,0,0,63,1,0,0,63
PCK,175.3004814366,-37.8118941916,1,0,1,0,0,1,1,1,0,0,0,33,1,0,0,33
PGH,176.3710580096,-40.024071555,1,0,1,1,0,0,0,1,0,0,0,211,1,0,0,211
PH,174.6225066039,-36.4936214803,1,0,0,1,0,1,0,0,0,0,0,34,1,0,0,34
PHE,175.5148793962,-37.0229579299,1,0,0,0,0,1,0,0,0,0,0,6,1,0,0,6
PHN,174.8703457263,-36.9927674916,1,0,1,0,0,0,0,1,0,0,0,21,1,0,0,21
PHP,175.9390033194,-40.051503691,1,0,0,1,0,0,1,0,0,0,0,263,1,0,1,263
PIR,175.1360626104,-38.029621216,1,0,1,1,0,0,0,1,0,0,0,226,1,0,0,226
PKW,175.5416625798,-41.0780288997,1,0,1,1,0,0,1,1,0,0,0,51,1,0,0,51
PP,174.9251678971,-37.0279878103,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0,19
PRN,175.4311053602,-36.8979603335,1,1,0,1,0,1,0,0,0,1,0,62,1,0,0,62
PRS,172.7204309078,-43.7642849004,1,0,0,1,0,1,0,0,0,0,0,74,1,0,0,74
PU,174.9113619917,-37.0010097908,1,0,1,0,0,1,0,1,0,0,0,63,1,0,0,63
PUH,176.9809986655,-39.8256178813,1,0,1,1,0,0,0,1,0,0,0,18,1,0,0,18
QLB,169.927744354,-44.4474334966,1,0,0,0,0,0,1,0,0,0,0,452,1,0,1,452
RED,173.0952656908,-41.3020850388,1,0,1,0,0,1,0,1,0,0,0,12,1,1,0,12
RES,173.2021180685,-41.3351791909,1,1,1,0,0,0,0,1,0,1,0,15,1,1,0,15
RG,176.0442458074,-39.6276520168,1,0,0,1,0,1,1,0,0,0,0,471,1,0,0,471
